,words,sounds,sents
3608,idealizers,"['AY', 'D', 'IY', 'L', 'AY', 'Z', 'ER', 'Z']",0.4404
3609,idealizes,"['AY', 'D', 'IY', 'AH', 'L', 'AY', 'Z', 'IH', 'Z']",0.4588
3610,idealizing,"['AY', 'D', 'IY', 'AH', 'L', 'AY', 'Z', 'IH', 'NG']",0.34
3611,idealless,"['AY', 'D', 'IY', 'L', 'AH', 'S']",-0.4019
3612,ideally,"['AY', 'D', 'IY', 'L', 'IY']",0.4215
3613,idealogues,"['AH', 'D', 'IY', 'L', 'AH', 'G', 'Z']",0.128
3614,idealogy,"['AY', 'D', 'IY', 'AH', 'L', 'AA', 'G', 'IY']",0.2023
3615,ideals,"['AY', 'D', 'IY', 'L', 'Z']",0.2023
3616,idiot,"['IH', 'D', 'IY', 'AH', 'T']",-0.5106
3617,idiotic,"['IH', 'D', 'IY', 'AA', 'T', 'IH', 'K']",-0.5574
3618,ignorable,"['IH', 'G', 'N', 'OW', 'R', 'AH', 'B', 'AH', 'L']",-0.25
3619,ignorami,"['IH', 'G', 'N', 'AO', 'R', 'AH', 'M', 'IY']",-0.4404
3620,ignoramus,"['IH', 'G', 'N', 'ER', 'EY', 'M', 'AH', 'S']",-0.4404
3621,ignoramuses,"['IH', 'G', 'N', 'AH', 'R', 'EY', 'M', 'AH', 'S', 'IH', 'Z']",-0.5106
3622,ignorance,"['IH', 'G', 'N', 'ER', 'AH', 'N', 'S']",-0.3612
3623,ignorances,"['IH', 'G', 'N', 'AH', 'R', 'AH', 'N', 'S', 'IH', 'Z']",-0.296
3624,ignorant,"['IH', 'G', 'N', 'ER', 'AH', 'N', 'T']",-0.2732
3625,ignorantly,"['IH', 'G', 'N', 'AH', 'R', 'AH', 'N', 'T', 'L', 'IY']",-0.3818
3626,ignorantness,"['IH', 'G', 'N', 'AH', 'R', 'AH', 'N', 'T', 'N', 'AH', 'S']",-0.2732
3627,ignore,"['IH', 'G', 'N', 'AO', 'R']",-0.3612
3628,ignored,"['IH', 'G', 'N', 'AO', 'R', 'D']",-0.3182
3629,ignorer,"['IH', 'G', 'N', 'OW', 'R', 'ER']",-0.3182
3630,ignorers,"['IH', 'G', 'N', 'OW', 'R', 'ER', 'Z']",-0.1779
3631,ignores,"['IH', 'G', 'N', 'AO', 'R', 'Z']",-0.2732
3632,ignoring,"['IH', 'G', 'N', 'AO', 'R', 'IH', 'NG']",-0.4019
3633,ill,"['IH', 'L']",-0.4215
3634,illegal,"['IH', 'L', 'IY', 'G', 'AH', 'L']",-0.5574
3635,illiteracy,"['IH', 'L', 'IH', 'T', 'ER', 'AH', 'S', 'IY']",-0.4404
3636,illness,"['IH', 'L', 'N', 'AH', 'S']",-0.4019
3637,illnesses,"['IH', 'L', 'N', 'AH', 'S', 'IH', 'Z']",-0.4939
3638,imbecile,"['IH', 'M', 'B', 'AH', 'S', 'AH', 'L']",-0.4939
3639,imbecile,"['IH', 'M', 'B', 'AH', 'S', 'AY', 'L']",-0.4939
3640,immobilized,"['IH', 'M', 'OW', 'B', 'AH', 'L', 'AY', 'Z', 'D']",-0.296
3641,immoral,"['IH', 'M', 'AO', 'R', 'AH', 'L']",-0.4588
3642,immoralism,"['IH', 'M', 'AH', 'R', 'AE', 'L', 'IH', 'Z', 'AH', 'M']",-0.3818
3643,immoralist,"['IH', 'M', 'AH', 'R', 'AE', 'L', 'IH', 'S', 'T']",-0.4767
3644,immoralists,"['IH', 'M', 'AH', 'R', 'AE', 'L', 'IH', 'S', 'T', 'S']",-0.4019
3645,immoralities,"['IH', 'M', 'AH', 'R', 'AE', 'L', 'AH', 'T', 'IY', 'Z']",-0.2732
3646,immorality,"['IH', 'M', 'ER', 'AE', 'L', 'IH', 'T', 'IY']",-0.1531
3647,immorally,"['IH', 'M', 'AO', 'R', 'AH', 'L', 'IY']",-0.4767
3648,immortal,"['IH', 'M', 'AO', 'R', 'T', 'AH', 'L']",0.25
3649,immune,"['IH', 'M', 'Y', 'UW', 'N']",0.296
3650,impatience,"['IH', 'M', 'P', 'EY', 'SH', 'AH', 'N', 'S']",-0.4215
3651,impatiens,"['IH', 'M', 'P', 'EY', 'SH', 'AH', 'N', 'Z']",-0.0516
3652,impatient,"['IH', 'M', 'P', 'EY', 'SH', 'AH', 'N', 'T']",-0.296
3653,impatiently,"['IH', 'M', 'P', 'EY', 'SH', 'AH', 'N', 'T', 'L', 'IY']",-0.4019
3654,imperfect,"['IH', 'M', 'P', 'ER', 'F', 'IH', 'K', 'T']",-0.3182
3655,impersonal,"['IH', 'M', 'P', 'ER', 'S', 'AH', 'N', 'AH', 'L']",-0.3182
3656,impolite,"['IH', 'M', 'P', 'AH', 'L', 'AY', 'T']",-0.3818
3657,impolitely,"['IH', 'M', 'P', 'AH', 'L', 'AY', 'T', 'L', 'IY']",-0.4215
3658,impoliteness,"['IH', 'M', 'P', 'AH', 'L', 'AY', 'T', 'N', 'AH', 'S']",-0.4215
3659,impolitenesses,"['IH', 'M', 'P', 'AH', 'L', 'AY', 'T', 'N', 'AH', 'S', 'IH', 'Z']",-0.5106
3660,importance,"['IH', 'M', 'P', 'AO', 'R', 'T', 'AH', 'N', 'S']",0.3612
3661,importancies,"['IH', 'M', 'P', 'OW', 'R', 'T', 'AH', 'N', 'S', 'IY', 'Z']",0.1027
3662,importancy,"['IH', 'M', 'P', 'OW', 'R', 'T', 'AH', 'N', 'S', 'IY']",0.34
3663,important,"['IH', 'M', 'P', 'AO', 'R', 'T', 'AH', 'N', 'T']",0.2023
3664,importantly,"['IH', 'M', 'P', 'AO', 'R', 'T', 'AH', 'N', 'T', 'L', 'IY']",0.3182
3665,impose,"['IH', 'M', 'P', 'OW', 'Z']",-0.296
3666,imposed,"['IH', 'M', 'P', 'OW', 'Z', 'D']",-0.0772
3667,imposes,"['IH', 'M', 'P', 'OW', 'Z', 'IH', 'Z']",-0.1027
3668,imposing,"['IH', 'M', 'P', 'OW', 'Z', 'IH', 'NG']",-0.1027
3669,impotent,"['IH', 'M', 'P', 'AH', 'T', 'AH', 'N', 'T']",-0.2732
3670,impress,"['IH', 'M', 'P', 'R', 'EH', 'S']",0.4404
3671,impressed,"['IH', 'M', 'P', 'R', 'EH', 'S', 'T']",0.4767
3672,impresses,"['IH', 'M', 'P', 'R', 'EH', 'S', 'IH', 'Z']",0.4767
3673,impressibility,"['IH', 'M', 'P', 'R', 'EH', 'S', 'AH', 'B', 'IH', 'L', 'AH', 'T', 'IY']",0.296
3674,impressible,"['IH', 'M', 'P', 'R', 'EH', 'S', 'AH', 'B', 'AH', 'L']",0.2023
3675,impressing,"['IH', 'M', 'P', 'R', 'EH', 'S', 'IH', 'NG']",0.5423
3676,impression,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'AH', 'N']",0.2263
3677,impressionable,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'AH', 'N', 'AH', 'B', 'AH', 'L']",0.0516
3678,impressionism,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'AH', 'N', 'IH', 'Z', 'AH', 'M']",0.2023
3679,impressionisms,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'AH', 'N', 'IH', 'Z', 'AH', 'M', 'Z']",0.128
3680,impressionist,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'AH', 'N', 'AH', 'S', 'T']",0.25
3681,impressionist,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'AH', 'N', 'IH', 'S', 'T']",0.25
3682,impressionistic,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'AH', 'N', 'IH', 'S', 'T', 'IH', 'K']",0.3612
3683,impressionistically,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'AH', 'N', 'IH', 'S', 'T', 'IH', 'K', 'AH', 'L', 'IY']",0.3818
3684,impressionists,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'AH', 'N', 'IH', 'S', 'T', 'S']",0.128
3685,impressions,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'AH', 'N', 'Z']",0.2263
3686,impressive,"['IH', 'M', 'P', 'R', 'EH', 'S', 'IH', 'V']",0.5106
3687,impressively,"['IH', 'M', 'P', 'R', 'EH', 'S', 'IH', 'V', 'L', 'IY']",0.4588
3688,impressiveness,"['IH', 'M', 'P', 'R', 'EH', 'S', 'IH', 'V', 'N', 'AH', 'S']",0.4019
3689,impressment,"['IH', 'M', 'P', 'R', 'EH', 'S', 'M', 'AH', 'N', 'T']",-0.1027
3690,impressments,"['IH', 'M', 'P', 'R', 'EH', 'S', 'M', 'AH', 'N', 'T', 'S']",0.128
3691,impressure,"['IH', 'M', 'P', 'R', 'EH', 'SH', 'ER']",0.1531
3692,imprisoned,"['IH', 'M', 'P', 'R', 'IH', 'Z', 'AH', 'N', 'D']",-0.4588
3693,improve,"['IH', 'M', 'P', 'R', 'UW', 'V']",0.4404
3694,improved,"['IH', 'M', 'P', 'R', 'UW', 'V', 'D']",0.4767
3695,improvement,"['IH', 'M', 'P', 'R', 'UW', 'V', 'M', 'AH', 'N', 'T']",0.4588
3696,improvements,"['IH', 'M', 'P', 'R', 'UW', 'V', 'M', 'AH', 'N', 'T', 'S']",0.3182
3697,improver,"['IH', 'M', 'P', 'R', 'UW', 'V', 'ER']",0.4215
3698,improvers,"['IH', 'M', 'P', 'R', 'UW', 'V', 'ER', 'Z']",0.3182
3699,improves,"['IH', 'M', 'P', 'R', 'UW', 'V', 'Z']",0.4215
3700,improving,"['IH', 'M', 'P', 'R', 'UW', 'V', 'IH', 'NG']",0.4215
3701,inability,"['IH', 'N', 'AH', 'B', 'IH', 'L', 'IH', 'T', 'IY']",-0.4019
3702,inaction,"['IH', 'N', 'AE', 'K', 'SH', 'AH', 'N']",-0.25
3703,inadequacies,"['IH', 'N', 'AE', 'D', 'AH', 'K', 'W', 'AH', 'S', 'IY', 'Z']",-0.4019
3704,inadequacy,"['IH', 'N', 'AE', 'D', 'IH', 'K', 'W', 'AH', 'S', 'IY']",-0.4019
3705,inadequate,"['IH', 'N', 'AE', 'D', 'AH', 'K', 'W', 'AH', 'T']",-0.4019
3706,inadequate,"['IH', 'N', 'AE', 'D', 'AH', 'K', 'W', 'EY', 'T']",-0.4019
3707,inadequately,"['IH', 'N', 'AE', 'D', 'AH', 'K', 'W', 'AH', 'T', 'L', 'IY']",-0.25
3708,inadequateness,"['IH', 'N', 'AE', 'D', 'IH', 'K', 'W', 'AH', 'T', 'N', 'AH', 'S']",-0.4019
3709,inadequatenesses,"['IH', 'N', 'AE', 'D', 'IH', 'K', 'W', 'AH', 'T', 'N', 'AH', 'S', 'IH', 'Z']",-0.3818
3710,incapable,"['IH', 'N', 'K', 'EY', 'P', 'AH', 'B', 'AH', 'L']",-0.3818
3711,incapacitated,"['IH', 'N', 'K', 'AH', 'P', 'AE', 'S', 'IH', 'T', 'EY', 'T', 'IH', 'D']",-0.4404
3712,incensed,"['IH', 'N', 'S', 'EH', 'N', 'S', 'T']",-0.4588
3713,incentive,"['IH', 'N', 'S', 'EH', 'N', 'T', 'IH', 'V']",0.3612
3714,incentive,"['IH', 'N', 'S', 'EH', 'N', 'IH', 'V']",0.3612
3715,incentives,"['IH', 'N', 'S', 'EH', 'N', 'T', 'IH', 'V', 'Z']",0.3182
3716,incentives,"['IH', 'N', 'S', 'IH', 'N', 'IH', 'V', 'Z']",0.3182
3717,incompetence,"['IH', 'N', 'K', 'AA', 'M', 'P', 'AH', 'T', 'AH', 'N', 'S']",-0.5106
3718,incompetent,"['IH', 'N', 'K', 'AA', 'M', 'P', 'AH', 'T', 'AH', 'N', 'T']",-0.4767
3719,inconsiderate,"['IH', 'N', 'K', 'AH', 'N', 'S', 'IH', 'D', 'ER', 'AH', 'T']",-0.4404
3720,inconvenience,"['IH', 'N', 'K', 'AH', 'N', 'V', 'IY', 'N', 'Y', 'AH', 'N', 'S']",-0.3612
3721,inconvenient,"['IH', 'N', 'K', 'AH', 'N', 'V', 'IY', 'N', 'Y', 'AH', 'N', 'T']",-0.34
3722,increase,"['IH', 'N', 'K', 'R', 'IY', 'S']",0.3182
3723,increased,"['IH', 'N', 'K', 'R', 'IY', 'S', 'T']",0.2732
3724,indecision,"['IH', 'N', 'D', 'IH', 'S', 'IH', 'ZH', 'AH', 'N']",-0.2023
3725,indecisions,"['IH', 'N', 'D', 'IH', 'S', 'IH', 'ZH', 'AH', 'N', 'Z']",-0.2732
3726,indecisive,"['IH', 'N', 'D', 'IH', 'S', 'AY', 'S', 'IH', 'V']",-0.25
3727,indecisively,"['IH', 'N', 'D', 'AH', 'S', 'AY', 'S', 'IH', 'V', 'L', 'IY']",-0.1779
3728,indecisiveness,"['IH', 'N', 'D', 'EH', 'S', 'IH', 'S', 'IH', 'V', 'N', 'AH', 'S']",-0.3182
3729,indecisivenesses,"['IH', 'N', 'D', 'AH', 'S', 'AY', 'S', 'IH', 'V', 'N', 'AH', 'S', 'IH', 'Z']",-0.2263
3730,indestructible,"['IH', 'N', 'D', 'AH', 'S', 'T', 'R', 'AH', 'K', 'T', 'IH', 'B', 'AH', 'L']",0.1531
3731,indifference,"['IH', 'N', 'D', 'IH', 'F', 'ER', 'AH', 'N', 'S']",-0.0516
3732,indifference,"['IH', 'N', 'D', 'IH', 'F', 'R', 'AH', 'N', 'S']",-0.0516
3733,indifferent,"['IH', 'N', 'D', 'IH', 'F', 'R', 'AH', 'N', 'T']",-0.2023
3734,indifferent,"['IH', 'N', 'D', 'IH', 'F', 'ER', 'AH', 'N', 'T']",-0.2023
3735,indignant,"['IH', 'N', 'D', 'IH', 'G', 'N', 'AH', 'N', 'T']",-0.4215
3736,indignation,"['IH', 'N', 'D', 'IH', 'G', 'N', 'EY', 'SH', 'AH', 'N']",-0.5267
3737,indoctrinate,"['IH', 'N', 'D', 'AA', 'K', 'T', 'R', 'AH', 'N', 'AH', 'T']",-0.34
3738,indoctrinated,"['IH', 'N', 'D', 'AA', 'K', 'T', 'R', 'AH', 'N', 'EY', 'T', 'IH', 'D']",-0.1027
3739,indoctrinates,"['IH', 'N', 'D', 'AA', 'K', 'T', 'R', 'AH', 'N', 'AH', 'T', 'S']",-0.1531
3740,indoctrinating,"['IH', 'N', 'D', 'AA', 'K', 'T', 'R', 'AH', 'N', 'EY', 'T', 'IH', 'NG']",-0.1779
3741,ineffective,"['IH', 'N', 'IH', 'F', 'EH', 'K', 'T', 'IH', 'V']",-0.128
3742,ineffectively,"['IH', 'N', 'IH', 'F', 'EH', 'K', 'T', 'IH', 'V', 'L', 'IY']",-0.3182
3743,ineffectiveness,"['IH', 'N', 'AH', 'F', 'EH', 'K', 'T', 'IH', 'V', 'N', 'AH', 'S']",-0.3182
3744,ineffectual,"['IH', 'N', 'AH', 'F', 'EH', 'K', 'CH', 'UW', 'AH', 'L']",-0.296
3745,ineffectuality,"['IH', 'N', 'IH', 'F', 'EH', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'AH', 'T', 'IY']",-0.3818
3746,ineffectually,"['IH', 'N', 'IH', 'F', 'EH', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'IY']",-0.2732
3747,ineffectualness,"['IH', 'N', 'IH', 'F', 'EH', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'N', 'AH', 'S']",-0.3182
3748,infatuated,"['IH', 'N', 'F', 'AE', 'CH', 'UW', 'EY', 'T', 'IH', 'D']",0.0516
3749,infatuation,"['IH', 'N', 'F', 'AE', 'CH', 'UW', 'EY', 'SH', 'AH', 'N']",0.1531
3750,infected,"['IH', 'N', 'F', 'EH', 'K', 'T', 'IH', 'D']",-0.4939
3751,inferior,"['IH', 'N', 'F', 'IH', 'R', 'IY', 'ER']",-0.4019
3752,inferiorities,"['IH', 'N', 'F', 'IH', 'R', 'IY', 'AO', 'R', 'AH', 'T', 'IY', 'Z']",-0.4404
3753,inferiority,"['IH', 'N', 'F', 'IH', 'R', 'IY', 'AO', 'R', 'IH', 'T', 'IY']",-0.2732
3754,inferiorly,"['IH', 'N', 'F', 'IH', 'R', 'IY', 'ER', 'L', 'IY']",-0.4588
3755,inferiors,"['IH', 'N', 'F', 'IH', 'R', 'IY', 'ER', 'Z']",-0.128
3756,inflamed,"['IH', 'N', 'F', 'L', 'EY', 'M', 'D']",-0.34
3757,influential,"['IH', 'N', 'F', 'L', 'UW', 'EH', 'N', 'SH', 'AH', 'L']",0.4404
3758,infringement,"['IH', 'N', 'F', 'R', 'IH', 'N', 'JH', 'M', 'AH', 'N', 'T']",-0.4767
3759,infuriate,"['IH', 'N', 'F', 'Y', 'UH', 'R', 'IY', 'EY', 'T']",-0.4939
3760,infuriated,"['IH', 'N', 'F', 'Y', 'UH', 'R', 'IY', 'EY', 'T', 'IH', 'D']",-0.6124
3761,infuriates,"['IH', 'N', 'F', 'Y', 'UH', 'R', 'IY', 'EY', 'T', 'S']",-0.5574
3762,infuriating,"['IH', 'N', 'F', 'Y', 'UH', 'R', 'IY', 'EY', 'T', 'IH', 'NG']",-0.5267
3763,inhibin,"['IH', 'N', 'HH', 'IH', 'B', 'AH', 'N']",-0.0516
3764,inhibit,"['IH', 'N', 'HH', 'IH', 'B', 'AH', 'T']",-0.3818
3765,inhibited,"['IH', 'N', 'HH', 'IH', 'B', 'AH', 'T', 'IH', 'D']",-0.1027
3766,inhibiting,"['IH', 'N', 'HH', 'IH', 'B', 'AH', 'T', 'IH', 'NG']",-0.1027
3767,inhibition,"['IH', 'N', 'HH', 'AH', 'B', 'IH', 'SH', 'AH', 'N']",-0.3612
3768,inhibition,"['IH', 'N', 'AH', 'B', 'IH', 'SH', 'AH', 'N']",-0.3612
3769,inhibitions,"['IH', 'N', 'HH', 'AH', 'B', 'IH', 'SH', 'AH', 'N', 'Z']",-0.2023
3770,inhibitions,"['IH', 'N', 'AH', 'B', 'IH', 'SH', 'AH', 'N', 'Z']",-0.2023
3771,inhibitive,"['IH', 'N', 'HH', 'IH', 'B', 'AH', 'T', 'IH', 'V']",-0.34
3772,inhibitor,"['IH', 'N', 'HH', 'IH', 'B', 'AH', 'T', 'ER']",-0.0772
3773,inhibitors,"['IH', 'N', 'HH', 'IH', 'B', 'AH', 'T', 'ER', 'Z']",-0.25
3774,inhibitory,"['IH', 'N', 'HH', 'IH', 'B', 'AH', 'T', 'AO', 'R', 'IY']",-0.25
3775,inhibits,"['IH', 'N', 'HH', 'IH', 'B', 'AH', 'T', 'S']",-0.2263
3776,injured,"['IH', 'N', 'JH', 'ER', 'D']",-0.4019
3777,injury,"['IH', 'N', 'JH', 'ER', 'IY']",-0.4215
3778,injustice,"['IH', 'N', 'JH', 'AH', 'S', 'T', 'IH', 'S']",-0.5719
3779,innocence,"['IH', 'N', 'AH', 'S', 'AH', 'N', 'S']",0.3818
3780,innocency,"['IH', 'N', 'AH', 'S', 'AH', 'N', 'S', 'IY']",0.4404
3781,innocent,"['IH', 'N', 'AH', 'S', 'AH', 'N', 'T']",0.34
3782,innocenter,"['IH', 'N', 'AH', 'S', 'AH', 'N', 'T', 'ER']",0.2263
3783,innocently,"['IH', 'N', 'AH', 'S', 'AH', 'N', 'T', 'L', 'IY']",0.34
3784,innocents,"['IH', 'N', 'AH', 'S', 'AH', 'N', 'T', 'S']",0.2732
3785,innovate,"['IH', 'N', 'AH', 'V', 'EY', 'T']",0.4939
3786,innovate,"['IH', 'N', 'OW', 'V', 'EY', 'T']",0.4939
3787,innovates,"['IH', 'N', 'AH', 'V', 'EY', 'T', 'S']",0.4588
3788,innovates,"['IH', 'N', 'OW', 'V', 'EY', 'T', 'S']",0.4588
3789,innovation,"['IH', 'N', 'AH', 'V', 'EY', 'SH', 'AH', 'N']",0.3818
3790,innovation,"['IH', 'N', 'OW', 'V', 'EY', 'SH', 'AH', 'N']",0.3818
3791,innovative,"['IH', 'N', 'AH', 'V', 'EY', 'T', 'IH', 'V']",0.4404
3792,innovative,"['IH', 'N', 'OW', 'V', 'EY', 'T', 'IH', 'V']",0.4404
3793,inquisition,"['IH', 'N', 'K', 'W', 'AH', 'Z', 'IH', 'SH', 'AH', 'N']",-0.296
3794,inquisitive,"['IH', 'N', 'K', 'W', 'IH', 'Z', 'IH', 'T', 'IH', 'V']",0.1779
3795,insane,"['IH', 'N', 'S', 'EY', 'N']",-0.4019
3796,insanity,"['IH', 'N', 'S', 'AE', 'N', 'AH', 'T', 'IY']",-0.5719
3797,insanity,"['IH', 'N', 'S', 'AE', 'N', 'IH', 'T', 'IY']",-0.5719
3798,insecure,"['IH', 'N', 'S', 'AH', 'K', 'Y', 'ER']",-0.4215
3799,insecurely,"['IH', 'N', 'S', 'IH', 'K', 'Y', 'UH', 'R', 'L', 'IY']",-0.34
3800,insecureness,"['IH', 'N', 'S', 'IH', 'K', 'Y', 'UH', 'R', 'N', 'AH', 'S']",-0.4215
3801,insecurities,"['IH', 'N', 'S', 'AH', 'K', 'Y', 'UH', 'R', 'IH', 'T', 'IY', 'Z']",-0.4215
3802,insecurity,"['IH', 'N', 'S', 'IH', 'K', 'Y', 'UH', 'R', 'IH', 'T', 'IY']",-0.4215
3803,insensitive,"['IH', 'N', 'S', 'EH', 'N', 'S', 'AH', 'T', 'IH', 'V']",-0.2263
3804,insensitive,"['IH', 'N', 'S', 'EH', 'N', 'S', 'IH', 'T', 'IH', 'V']",-0.2263
3805,insensitivity,"['IH', 'N', 'S', 'EH', 'N', 'S', 'AH', 'T', 'IH', 'V', 'AH', 'T', 'IY']",-0.4215
3806,insignificant,"['IH', 'N', 'S', 'IH', 'G', 'N', 'Y', 'IH', 'F', 'IH', 'K', 'AH', 'N', 'T']",-0.34
3807,insincere,"['IH', 'N', 'S', 'IH', 'N', 'S', 'IH', 'R']",-0.4215
3808,insincerely,"['IH', 'N', 'S', 'IH', 'N', 'S', 'IH', 'ER', 'L', 'IY']",-0.4404
3809,insincerity,"['IH', 'N', 'S', 'IH', 'N', 'S', 'EH', 'R', 'AH', 'T', 'IY']",-0.34
3810,insipid,"['IH', 'N', 'S', 'IH', 'P', 'AH', 'D']",-0.4588
3811,inspiration,"['IH', 'N', 'S', 'P', 'ER', 'EY', 'SH', 'AH', 'N']",0.5267
3812,inspirational,"['IH', 'N', 'S', 'P', 'ER', 'EY', 'SH', 'AH', 'N', 'AH', 'L']",0.5106
3813,inspirationally,"['IH', 'N', 'S', 'P', 'AH', 'R', 'EY', 'SH', 'AH', 'N', 'AH', 'L', 'IY']",0.5106
3814,inspirations,"['IH', 'N', 'S', 'P', 'ER', 'EY', 'SH', 'AH', 'N', 'Z']",0.4767
3815,inspirator,"['IH', 'N', 'S', 'P', 'AY', 'ER', 'AH', 'T', 'ER']",0.4404
3816,inspirators,"['IH', 'N', 'S', 'P', 'AY', 'ER', 'AH', 'T', 'ER', 'Z']",0.296
3817,inspiratory,"['IH', 'N', 'S', 'P', 'AY', 'ER', 'AH', 'T', 'OW', 'R', 'IY']",0.3612
3818,inspire,"['IH', 'N', 'S', 'P', 'AY', 'R']",0.5719
3819,inspired,"['IH', 'N', 'S', 'P', 'AY', 'ER', 'D']",0.4939
3820,inspirer,"['IH', 'N', 'S', 'P', 'AY', 'ER', 'ER']",0.4939
3821,inspirers,"['IH', 'N', 'S', 'P', 'AY', 'ER', 'ER', 'Z']",0.4588
3822,inspires,"['IH', 'N', 'S', 'P', 'AY', 'R', 'Z']",0.4404
3823,inspiring,"['IH', 'N', 'S', 'P', 'AY', 'R', 'IH', 'NG']",0.4215
3824,inspiring,"['IH', 'N', 'S', 'P', 'AY', 'ER', 'IH', 'NG']",0.4215
3825,inspiringly,"['IH', 'N', 'S', 'P', 'AY', 'ER', 'IH', 'NG', 'L', 'IY']",0.5574
3826,inspirit,"['IH', 'N', 'S', 'P', 'IH', 'R', 'AH', 'T']",0.4404
3827,inspirited,"['IH', 'N', 'S', 'P', 'IH', 'R', 'AH', 'T', 'IH', 'D']",0.3182
3828,inspiriting,"['IH', 'N', 'S', 'P', 'IH', 'R', 'AH', 'T', 'IH', 'NG']",0.4215
3829,inspiritingly,"['IH', 'N', 'S', 'P', 'IH', 'R', 'AH', 'T', 'IH', 'NG', 'L', 'IY']",0.4767
3830,inspirits,"['IH', 'N', 'S', 'P', 'IH', 'R', 'AH', 'T', 'S']",0.2023
3831,insult,"['IH', 'N', 'S', 'AH', 'L', 'T']",-0.5106
3832,insulted,"['IH', 'N', 'S', 'AH', 'L', 'T', 'IH', 'D']",-0.5106
3833,insulter,"['IH', 'N', 'S', 'AH', 'L', 'T', 'ER']",-0.4588
3834,insulters,"['IH', 'N', 'S', 'AH', 'L', 'T', 'ER', 'Z']",-0.4588
3835,insulting,"['IH', 'N', 'S', 'AH', 'L', 'T', 'IH', 'NG']",-0.4939
3836,insultingly,"['IH', 'N', 'S', 'AH', 'L', 'T', 'IH', 'NG', 'L', 'IY']",-0.5106
3837,insults,"['IH', 'N', 'S', 'AH', 'L', 'T', 'S']",-0.4215
3838,intact,"['IH', 'N', 'T', 'AE', 'K', 'T']",0.2023
3839,integrity,"['IH', 'N', 'T', 'EH', 'G', 'R', 'AH', 'T', 'IY']",0.3818
3840,intellect,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'T']",0.4588
3841,intellect,"['IH', 'N', 'AH', 'L', 'EH', 'K', 'T']",0.4588
3842,intellection,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'SH', 'AH', 'N']",0.1531
3843,intellections,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'SH', 'AH', 'N', 'Z']",0.2023
3844,intellective,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'T', 'IH', 'V']",0.4019
3845,intellectively,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'T', 'IH', 'V', 'L', 'IY']",0.2023
3846,intellects,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'T', 'S']",0.4215
3847,intellects,"['IH', 'N', 'AH', 'L', 'EH', 'K', 'T', 'S']",0.4215
3848,intellects,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'S']",0.4215
3849,intellects,"['IH', 'N', 'AH', 'L', 'EH', 'K', 'S']",0.4215
3850,intellectual,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'CH', 'UW', 'AH', 'L']",0.5106
3851,intellectual,"['IH', 'N', 'AH', 'L', 'EH', 'K', 'CH', 'UW', 'AH', 'L']",0.5106
3852,intellectualism,"['IH', 'N', 'T', 'EH', 'L', 'AH', 'K', 'CH', 'UW', 'AH', 'L', 'IH', 'Z', 'AH', 'M']",0.4939
3853,intellectualism,"['IH', 'N', 'EH', 'L', 'AH', 'K', 'CH', 'UW', 'AH', 'L', 'IH', 'Z', 'AH', 'M']",0.4939
3854,intellectualist,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'IH', 'S', 'T']",0.4588
3855,intellectualistic,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'IH', 'S', 'T', 'IH', 'K']",0.3182
3856,intellectualists,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'IH', 'S', 'T', 'S']",0.2023
3857,intellectualities,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'CH', 'AH', 'W', 'AE', 'L', 'AH', 'T', 'IY', 'Z']",0.4019
3858,intellectuality,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'CH', 'AH', 'W', 'AE', 'L', 'AH', 'T', 'IY']",0.4019
3859,intellectualization,"['IH', 'N', 'T', 'AH', 'L', 'EH', 'K', 'CH', 'AH', 'W', 'AH', 'L', 'AH', 'Z', 'EY', 'SH', 'AH', 'N']",0.3612
